,employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary
56,14030,7,255,4,0,1,0,support,low
57,1361,6,309,4,0,1,0,technical,low
58,1371,2,128,3,0,1,0,technical,low
59,1374,4,225,5,0,1,0,technical,low
60,1393,5,226,5,0,1,0,management,medium
61,1399,7,308,4,0,1,0,IT,medium
62,1404,6,244,5,0,1,0,IT,medium
63,1413,2,132,3,0,1,0,IT,medium
64,42423,6,286,4,0,1,0,IT,medium
65,1424,6,161,4,0,1,0,IT,medium
66,1426,2,153,3,0,1,0,product_mng,medium
67,1430,4,264,6,0,1,0,product_mng,medium
68,1438,5,223,5,1,1,0,product_mng,medium
69,11426,2,135,3,0,1,0,product_mng,medium
70,1443,2,277,3,0,1,0,IT,medium
71,1450,5,275,4,0,1,0,product_mng,medium
72,22316,2,149,3,0,1,0,product_mng,high
73,1454,7,295,4,0,1,0,product_mng,low
74,1463,6,277,4,0,1,0,product_mng,medium
75,1466,7,306,4,0,1,0,product_mng,medium
76,1467,6,295,4,0,1,0,product_mng,medium
77,1473,2,137,3,0,1,0,marketing,medium
78,13107,2,157,3,0,1,0,sales,low
79,1489,2,142,3,0,1,0,accounting,low
80,1490,2,140,3,0,1,0,support,low
81,1493,2,151,3,0,1,0,technical,low
82,1506,4,139,3,0,1,1,management,low
83,1508,4,249,6,0,1,0,marketing,low
84,15896,6,291,4,0,1,0,marketing,low
85,1530,6,305,4,0,1,0,marketing,low
86,1537,5,232,3,0,1,0,sales,low
87,1543,2,132,3,0,1,0,sales,low
88,1548,2,130,3,0,1,0,sales,low
89,1558,6,291,4,0,1,0,sales,low
90,1571,2,130,3,0,1,0,sales,low
91,17231,5,246,5,0,1,0,sales,low
92,1581,2,143,3,0,1,0,sales,low
93,1590,2,129,3,0,1,0,sales,low
94,1595,6,255,4,0,1,0,sales,low
95,1605,2,155,3,0,1,0,sales,low
96,1610,6,265,4,0,1,0,sales,low
97,1622,6,279,4,0,1,0,sales,low
98,1639,6,284,4,0,1,0,sales,low
99,1641,5,221,6,0,1,0,sales,medium
100,1642,2,154,3,0,1,0,sales,medium
101,1651,2,147,3,0,1,0,sales,medium
102,1658,2,150,3,0,1,0,sales,medium
103,1659,7,267,4,0,1,0,sales,medium
104,1665,2,158,3,0,1,0,sales,medium
105,1669,7,224,5,0,1,0,accounting,medium
106,1674,4,257,5,0,1,0,accounting,medium
107,17376,2,148,3,0,1,0,accounting,medium
108,1679,3,177,4,0,1,0,hr,medium
109,19808,2,155,3,0,1,0,hr,medium
110,1691,2,144,3,0,1,0,hr,medium
111,1698,6,289,4,0,1,0,hr,high
112,1705,2,160,3,0,1,0,technical,low
113,22928,4,258,5,0,1,0,technical,medium
114,1713,5,234,5,0,1,0,technical,medium
115,1715,2,137,3,0,1,0,technical,medium
116,23766,5,263,2,0,1,0,technical,medium
117,1730,6,251,4,0,1,0,technical,low
118,1733,2,133,3,0,1,0,technical,low
119,23901,2,132,3,0,1,0,technical,low
120,1739,4,158,4,1,1,0,technical,low
121,1741,2,135,3,0,1,0,technical,low
122,1742,4,216,6,0,1,0,technical,low
123,1743,6,300,5,1,1,0,support,low
124,24128,2,138,3,0,1,0,support,low
125,1771,6,260,4,0,1,0,support,low
126,25406,2,132,3,0,1,0,support,low
127,1786,3,183,5,0,1,0,support,low
128,1789,6,250,4,0,1,0,support,low
129,1802,2,151,3,0,1,0,support,low
130,1819,6,292,4,0,1,0,support,low
131,1822,2,140,3,0,1,0,support,low
132,26438,5,221,5,0,1,0,support,low
133,1828,2,138,3,0,1,0,support,low
134,1833,2,132,3,0,1,0,technical,low
135,1842,7,133,5,0,1,0,technical,low
136,1843,6,283,4,1,1,0,technical,low
137,1847,2,129,3,0,1,0,management,low
138,1849,4,249,5,0,1,0,IT,low
139,1852,5,257,5,0,1,0,IT,low
140,1863,6,245,4,0,1,0,IT,low
141,1864,2,155,3,0,1,0,IT,low
142,1865,6,256,4,0,1,0,IT,low
143,26632,2,152,3,0,1,0,product_mng,low
144,26925,4,267,5,0,1,0,product_mng,low
145,7596,2,151,3,0,1,0,product_mng,low
146,1894,4,239,5,0,1,0,product_mng,low
147,1897,6,306,4,0,1,0,IT,low
148,1898,4,263,5,1,1,0,marketing,low
149,1901,2,147,3,0,1,0,marketing,low
150,1902,6,278,4,0,1,0,marketing,low
151,28174,2,154,3,0,1,0,marketing,low
152,1912,2,143,3,0,1,0,marketing,low
153,1915,2,155,3,0,1,0,marketing,low
154,1920,2,160,3,0,1,0,sales,low
155,1924,6,304,4,0,1,0,accounting,low
156,1931,5,240,5,0,1,0,support,low
157,1936,6,305,4,0,1,0,technical,low
158,1938,2,136,3,0,1,0,management,low
159,1948,2,132,3,0,1,0,marketing,low
160,1953,7,301,4,0,1,0,marketing,low
161,28695,5,243,6,0,1,0,marketing,low
162,1964,2,147,3,0,1,0,sales,low
163,1969,5,239,5,0,1,0,sales,low
164,1970,5,260,5,0,1,0,sales,low
165,1980,7,296,4,0,1,0,sales,low
166,1984,2,129,3,0,1,0,sales,low
167,31262,5,132,5,0,1,0,sales,low
168,32334,2,135,5,0,1,0,sales,low
169,1999,2,158,3,0,1,0,sales,low
170,2009,4,259,5,0,1,0,sales,low
171,2016,2,160,3,0,1,1,sales,low
172,2021,7,278,4,0,1,0,sales,low
173,2025,6,284,4,0,1,0,sales,low
174,2026,2,274,4,0,1,0,sales,low
175,32923,4,164,2,0,1,0,sales,low
176,2078,2,148,3,0,1,0,sales,low
177,33098,2,140,3,0,1,0,sales,medium
178,2084,2,127,3,0,1,0,sales,medium
179,2092,6,308,5,0,1,0,sales,medium
180,91566,2,146,3,0,1,0,sales,medium
181,2110,6,261,4,0,1,0,accounting,medium
182,2111,5,257,5,0,1,0,accounting,medium
183,2118,6,285,4,0,1,0,accounting,medium
184,2125,2,141,3,0,1,0,hr,medium
185,2126,2,127,3,0,1,0,hr,medium
186,2128,6,297,4,0,1,0,hr,medium
187,2135,2,143,3,0,1,0,hr,medium
188,2152,2,152,3,0,1,0,technical,medium
189,2156,2,156,3,0,1,0,technical,high
190,2157,7,283,5,0,1,0,technical,low
191,2160,4,226,6,1,1,0,technical,medium
192,2169,4,232,5,0,1,0,technical,medium
193,2173,6,249,4,0,1,0,technical,medium
194,2174,4,275,5,0,1,0,technical,medium
195,2178,6,304,4,0,1,0,technical,low
196,2181,7,278,3,0,1,0,technical,low
197,2187,6,287,4,0,1,0,technical,low
198,2189,7,285,4,0,1,0,technical,low
199,2191,5,226,6,0,1,0,support,low
200,2193,5,259,5,0,1,0,support,low
201,2197,2,135,3,0,1,0,support,low
202,2200,5,219,5,0,1,0,support,low
203,2204,6,256,4,0,1,0,support,low
204,35563,5,254,6,0,1,0,support,low
205,2212,2,153,3,0,1,0,support,low
206,35940,5,228,5,0,1,0,support,low
207,2222,4,228,5,0,1,0,support,low
208,36647,2,128,3,0,1,0,support,low
209,2234,2,153,3,0,1,0,support,low
210,2241,2,156,3,0,1,0,technical,low
211,2248,4,294,3,0,1,0,technical,low
212,37364,5,219,5,0,1,0,technical,low
213,2253,2,153,3,0,1,0,management,low
214,2269,2,151,3,0,1,0,IT,low
215,2277,2,155,3,0,1,0,IT,low
216,2279,2,158,3,0,1,0,IT,low
217,2283,5,245,5,0,1,0,IT,low
218,38260,2,131,3,0,1,0,IT,low
219,2299,5,225,5,0,1,0,product_mng,low
220,2300,6,286,4,0,1,0,product_mng,low
221,38901,2,135,3,0,1,0,product_mng,low
222,2311,2,153,3,0,1,0,product_mng,low
223,2314,5,252,5,0,1,0,IT,low
224,2318,2,149,3,0,1,0,accounting,low
225,2340,4,258,5,0,1,0,accounting,low
226,2346,2,158,3,0,1,0,hr,low
227,2362,2,149,3,0,1,0,hr,low
228,2363,5,236,5,0,1,0,hr,low
229,40347,5,239,6,0,1,0,marketing,low
230,2395,2,159,3,0,1,0,marketing,low
231,2402,5,255,6,0,1,0,sales,low
232,2405,6,244,4,0,1,0,accounting,low
233,2415,2,134,3,0,1,0,support,low
234,40729,4,270,4,0,1,0,technical,low
235,2434,4,255,5,0,1,0,management,low
236,2444,2,151,3,0,1,0,marketing,low
237,41054,2,135,3,0,1,0,marketing,low
238,41767,2,146,3,0,1,0,marketing,low
239,64871,7,254,4,0,1,0,sales,low
240,2468,7,289,4,0,1,0,sales,low
241,2475,2,156,3,0,1,0,sales,low
242,2476,2,156,3,0,1,0,sales,low
243,97541,2,128,3,0,1,0,sales,low
244,2488,5,275,5,0,1,0,sales,low
245,42255,2,155,3,0,1,0,sales,low
246,98548,2,159,3,0,1,0,sales,low
247,25138,2,148,3,0,1,0,sales,low
248,2514,4,228,5,0,1,0,sales,low
249,2515,6,298,4,0,1,0,sales,low
250,2523,5,261,5,0,1,0,sales,low
251,2561,5,254,6,0,1,0,sales,low
252,2565,7,192,3,0,1,0,sales,low
253,2568,4,248,5,0,1,0,sales,low
254,2571,2,258,5,0,1,0,sales,low
255,2579,2,156,3,0,1,0,sales,medium
256,44247,6,266,4,1,1,0,sales,medium
257,2605,2,156,3,0,1,0,sales,medium
258,2613,5,232,5,1,1,0,accounting,medium
259,45097,6,287,4,0,1,0,accounting,medium
260,2630,2,154,3,0,1,0,accounting,medium
261,2632,5,263,5,0,1,0,hr,medium
262,2634,2,131,3,0,1,0,hr,medium
263,2645,6,260,4,0,1,0,hr,medium
264,45783,2,139,3,0,1,0,hr,medium
265,2658,4,251,5,0,1,0,technical,medium
266,2665,6,286,4,0,1,0,technical,medium
267,2672,2,129,3,0,1,0,technical,high
268,2675,2,156,3,0,1,0,technical,low
269,2677,6,139,6,0,1,0,technical,medium
270,49125,2,127,3,0,1,0,technical,medium
271,2679,6,251,4,0,1,0,technical,medium
272,2684,5,270,5,0,1,0,technical,medium
273,2692,6,296,4,0,1,0,technical,low
274,2693,6,254,4,0,1,0,technical,low
275,2699,5,238,6,0,1,0,technical,low
276,2701,6,267,4,1,1,0,support,low
277,2727,5,229,6,0,1,0,support,low
278,49502,6,254,4,0,1,0,support,low
279,53338,4,233,4,1,1,0,support,low
280,2748,6,268,4,0,1,0,support,low
281,54165,3,301,3,0,1,0,support,low
282,2753,5,267,6,0,1,0,support,low
283,2766,6,289,4,1,1,0,support,low
284,2767,2,144,3,0,1,0,support,low
285,2770,2,148,3,0,1,0,support,low
286,2771,6,306,4,0,1,0,support,low
287,2773,6,292,4,0,1,1,technical,low
288,2777,5,232,5,0,1,0,technical,low
289,2782,2,137,3,0,1,0,technical,low
290,27617,2,128,3,0,1,0,management,low
291,2784,5,231,5,0,1,0,IT,low
292,2786,2,146,3,0,1,0,IT,low
293,55195,6,308,4,1,1,0,IT,low
294,2807,6,253,4,0,1,0,IT,medium
295,2821,2,146,3,0,1,0,IT,medium
296,55937,2,156,3,0,1,0,product_mng,medium
297,2831,2,147,3,0,1,0,product_mng,medium
298,56819,2,136,3,0,1,0,product_mng,medium
299,56864,5,249,5,0,1,0,product_mng,medium
300,2841,2,151,3,0,1,0,IT,medium
301,2847,3,278,4,0,1,0,RandD,medium
302,57006,7,250,5,0,1,0,RandD,medium
303,2880,2,127,3,0,1,0,RandD,medium
304,2881,5,255,5,0,1,0,RandD,medium
305,2882,2,135,3,0,1,0,RandD,medium
306,57209,2,149,3,0,1,0,marketing,high
307,2896,5,287,4,0,1,0,sales,low
308,2899,2,145,3,0,1,0,accounting,medium
309,2901,6,285,4,0,1,0,support,medium
310,2912,7,305,4,0,1,0,technical,medium
311,2916,7,300,4,0,1,0,management,medium
312,2921,2,139,3,0,1,0,marketing,low
313,2923,2,130,3,0,1,0,marketing,low
314,2924,6,268,4,0,1,0,marketing,low
315,58161,4,245,6,0,1,0,sales,low
316,2932,2,135,3,0,1,0,sales,low
317,2933,2,153,3,0,1,0,sales,low
318,2940,6,276,4,0,1,0,sales,low
319,2944,2,130,3,0,1,0,sales,low
320,2945,2,153,3,1,1,0,sales,low
321,2949,5,244,5,0,1,0,sales,low
322,2972,2,253,3,0,1,0,sales,low
323,58798,7,287,4,0,1,0,sales,low
324,2988,2,131,3,0,1,0,sales,low
325,2990,2,135,3,0,1,0,sales,low
326,58972,2,157,3,0,1,0,sales,low
327,59323,5,262,6,0,1,0,sales,low
328,3010,6,266,4,0,1,0,sales,low
329,3011,2,148,3,0,1,0,sales,low
330,3013,2,140,3,0,1,0,sales,low
331,59644,7,302,4,0,1,0,sales,low
332,3022,6,271,4,0,1,0,sales,low
333,3024,2,145,3,0,1,0,sales,medium
334,59872,6,290,4,0,1,0,accounting,medium
335,3042,2,151,3,0,1,0,accounting,medium
336,3047,5,266,5,0,1,0,accounting,medium
337,3048,2,140,3,0,1,0,hr,medium
338,3064,2,142,3,0,1,0,hr,medium
339,3069,6,246,4,0,1,0,hr,medium
340,3091,7,308,5,0,1,0,hr,medium
341,3093,2,141,3,0,1,0,technical,medium
342,60841,5,232,5,0,1,0,technical,medium
343,3096,2,143,3,0,1,0,technical,medium
344,3100,2,155,3,0,1,0,technical,medium
345,3101,6,278,4,0,1,0,technical,high
346,61868,4,253,5,0,1,0,technical,low
347,3120,6,282,4,0,1,0,technical,medium
348,3122,7,264,4,0,1,0,technical,medium
349,3132,2,149,3,0,1,0,technical,medium
350,3137,6,304,5,0,1,0,technical,medium
351,64897,3,219,6,0,1,0,technical,low
352,3150,4,262,6,0,1,0,support,low
353,3159,2,135,3,0,1,0,support,low
354,3160,6,219,5,0,1,0,support,low
355,3165,2,136,3,0,1,0,support,low
356,65495,2,154,3,0,1,0,support,low
357,3179,2,149,3,0,1,0,support,low
358,3185,6,135,5,0,1,0,support,low
359,3191,6,275,4,0,1,0,support,low
360,66022,6,290,4,0,1,0,support,low
361,3195,4,263,5,0,1,0,support,low
362,3204,2,145,3,0,1,0,support,low
363,3205,5,267,5,0,1,0,technical,low
364,66592,2,141,3,1,1,0,technical,low
365,3217,4,235,5,0,1,0,technical,low
366,68266,6,258,4,0,1,0,management,low
367,3233,2,131,3,0,1,0,IT,low
368,3234,5,243,5,0,1,0,IT,low
369,3238,6,266,4,0,1,0,IT,low
370,3240,2,142,3,0,1,0,IT,low
371,68351,2,135,3,0,1,0,IT,low
372,3245,2,141,3,0,1,0,product_mng,medium
373,3246,2,142,3,0,1,0,product_mng,medium
374,68379,5,254,5,0,1,0,product_mng,medium
375,3249,5,262,5,0,1,0,product_mng,medium
376,3250,4,296,2,0,1,0,IT,medium
377,69294,2,158,3,0,1,0,accounting,medium
378,3259,4,238,2,0,1,0,accounting,medium
379,3260,4,231,5,0,1,0,hr,medium
380,3262,2,156,3,0,1,0,hr,medium
381,40488,2,145,3,0,1,0,hr,medium
382,3288,2,144,3,0,1,0,marketing,medium
383,3289,2,159,3,0,1,0,sales,medium
384,3297,2,156,3,0,1,0,accounting,high
385,3305,5,256,5,0,1,0,support,low
386,3306,6,298,4,0,1,0,technical,medium
387,3309,6,247,4,0,1,0,management,medium
388,3311,2,157,3,0,1,0,marketing,medium
389,48921,2,154,3,1,1,0,marketing,medium
390,99746,4,253,5,0,1,0,marketing,low
391,73366,2,148,3,0,1,0,sales,low
392,73530,4,261,5,0,1,0,sales,low
393,3332,6,282,4,0,1,0,sales,low
394,3344,2,133,3,0,1,0,sales,low
395,3347,2,128,3,0,1,0,sales,low
396,3350,2,139,3,0,1,0,sales,low
397,3354,6,293,5,0,1,0,sales,low
398,3369,4,265,6,0,1,0,sales,low
399,3381,6,250,4,0,1,0,sales,low
400,3396,5,251,6,0,1,0,sales,low
401,74142,4,246,5,0,1,0,sales,low
402,3405,5,275,5,0,1,0,sales,low
403,3406,5,240,5,0,1,0,sales,low
404,74582,5,245,5,0,1,0,sales,low
405,3422,4,254,4,0,1,0,sales,low
406,3425,5,241,5,0,1,0,sales,low
407,75664,6,257,4,0,1,0,sales,low
408,3461,4,246,5,0,1,0,sales,low
409,76341,4,233,5,0,1,0,sales,low
410,3465,6,218,4,0,1,0,accounting,low
411,77736,4,262,6,0,1,0,accounting,medium
412,3482,2,138,3,0,1,0,accounting,medium
413,3484,2,142,3,0,1,0,hr,medium
414,3502,5,233,5,0,1,0,hr,medium
415,78076,2,155,3,0,1,0,hr,medium
416,3506,4,229,6,0,1,0,hr,medium
417,3517,6,264,4,0,1,0,technical,medium
418,3518,3,199,4,0,1,0,technical,medium
419,3521,4,223,5,0,1,0,technical,medium
420,3530,6,268,4,0,1,0,technical,medium
421,3531,6,287,4,0,1,0,technical,medium
422,3535,5,257,5,0,1,0,technical,medium
423,3536,2,143,3,0,1,0,technical,high
424,3546,2,130,3,0,1,0,technical,low
425,3548,2,136,3,0,1,0,technical,medium
426,3550,4,261,5,0,1,0,technical,medium
427,78130,3,180,4,0,1,0,technical,medium
428,3569,2,126,3,0,1,0,support,medium
429,3573,2,127,3,1,1,0,support,low
430,3574,5,195,6,0,1,0,support,low
431,3575,2,160,3,0,1,0,support,low
432,3588,2,150,3,0,1,0,support,low
433,3596,4,264,6,0,1,0,support,low
434,3597,6,309,4,0,1,0,support,low
435,3598,2,135,3,0,1,0,support,low
436,12625,6,261,4,0,1,0,support,low
437,79881,2,160,3,0,1,0,support,low
438,3615,4,237,5,0,1,0,support,low
439,3623,2,136,3,0,1,0,technical,low
440,3633,2,139,3,0,1,0,technical,low
441,3634,2,151,4,0,1,0,technical,low
442,3635,5,229,5,0,1,0,management,low
443,3636,5,245,5,0,1,0,IT,low
444,3643,2,127,3,0,1,0,IT,low
445,3654,6,283,5,0,1,0,IT,low
446,3655,2,143,3,0,1,0,IT,low
447,3658,5,298,4,0,1,0,IT,low
448,3664,2,159,3,0,1,0,product_mng,low
449,3665,5,239,5,0,1,0,product_mng,low
450,3667,4,226,5,0,1,0,product_mng,medium
451,3669,5,248,5,0,1,0,product_mng,medium
452,3686,6,286,4,0,1,0,IT,medium
453,3694,2,145,3,0,1,0,RandD,medium
454,3697,7,254,4,1,1,0,RandD,medium
455,3699,2,127,3,0,1,0,RandD,medium
456,3700,5,223,5,0,1,0,RandD,medium
457,3706,4,255,5,0,1,0,RandD,medium
458,3707,2,136,3,0,1,0,marketing,medium
459,3719,2,137,3,0,1,0,sales,medium
460,3722,2,135,3,0,1,0,accounting,medium
461,81317,2,137,3,0,1,0,support,medium
462,82607,3,255,5,0,1,0,technical,high
463,3736,4,273,5,0,1,0,management,low
464,3743,5,234,5,0,1,0,marketing,medium
465,3745,2,152,3,0,1,0,marketing,medium
466,3747,2,134,3,0,1,0,marketing,medium
467,3754,6,292,4,0,1,0,sales,medium
468,3755,5,245,5,0,1,0,sales,low
469,3771,2,159,3,0,1,0,sales,low
470,3788,6,260,4,0,1,0,sales,low
471,83066,2,149,3,0,1,0,sales,low
472,3799,5,266,5,0,1,0,sales,low
473,3807,2,149,3,0,1,0,sales,low
474,3813,5,242,5,0,1,0,sales,low
475,3826,2,134,3,0,1,0,sales,low
476,3832,5,271,4,0,1,0,sales,low
477,3857,6,275,4,0,1,0,sales,low
478,3860,5,227,5,0,1,0,sales,low
479,3868,7,277,5,0,1,0,sales,low
480,3874,2,151,3,0,1,0,sales,low
481,3876,6,274,4,0,1,0,sales,low
482,3877,4,242,6,0,1,0,sales,low
483,3879,2,143,3,1,1,0,sales,low
484,3888,2,145,3,0,1,0,sales,low
485,20539,5,172,2,0,1,0,sales,low
486,3897,2,135,3,0,1,0,accounting,low
487,83745,4,192,4,0,1,0,accounting,low
488,3914,7,276,4,0,1,0,accounting,low
489,3916,4,206,4,0,1,0,hr,medium
490,3918,4,281,6,0,1,0,hr,medium
491,3921,2,151,3,0,1,0,hr,medium
492,3924,6,244,4,0,1,0,hr,medium
493,84739,6,309,4,0,1,0,technical,medium
494,3927,5,218,5,0,1,0,technical,medium
495,3930,4,263,6,0,1,0,technical,medium
496,3945,6,244,4,0,1,0,technical,medium
497,3949,7,263,4,0,1,0,technical,medium
498,3959,2,143,3,0,1,0,technical,medium
499,85378,2,181,5,0,1,0,technical,medium
500,3968,5,265,5,0,1,0,technical,medium
501,3969,5,161,5,0,1,0,technical,high
502,3972,7,282,5,0,1,0,technical,low
503,3976,2,155,3,0,1,0,technical,medium
504,3978,4,217,6,0,1,0,support,medium
505,3982,6,289,5,0,1,0,support,medium
506,85447,4,259,5,0,1,0,support,medium
507,86971,2,158,3,0,1,0,support,low
508,3996,2,158,3,0,1,0,support,low
509,86978,2,155,3,0,1,0,support,low
510,42623,2,146,3,0,1,0,support,low
511,4000,2,164,5,0,1,0,support,low
512,4011,6,259,4,0,1,0,support,low
513,4013,6,293,4,0,1,0,support,low
514,4027,5,275,5,0,1,0,support,low
515,4033,5,219,6,1,1,0,technical,low
516,4035,6,247,4,0,1,0,technical,low
517,4036,7,309,4,0,1,0,technical,low
518,4039,2,151,3,0,1,0,management,low
519,4040,2,129,3,0,1,0,IT,low
520,87886,4,274,5,0,1,0,IT,low
521,4043,4,233,5,0,1,0,IT,low
522,4047,7,289,4,0,1,0,IT,low
523,4050,4,239,6,0,1,0,IT,low
524,4056,5,221,5,0,1,0,product_mng,low
525,4059,2,150,3,0,1,0,product_mng,low
526,4064,2,144,3,1,1,0,product_mng,low
527,4072,7,289,4,0,1,0,product_mng,low
528,4081,6,301,5,0,1,0,IT,medium
529,88150,2,145,3,0,1,0,accounting,medium
530,4088,2,137,3,0,1,0,accounting,medium
531,10090,2,131,3,1,1,0,hr,medium
532,4100,6,246,4,0,1,0,hr,medium
533,4103,2,136,3,0,1,0,hr,medium
534,4112,5,240,6,1,1,0,marketing,medium
535,4113,2,156,3,0,1,0,sales,medium
536,88904,6,305,4,0,1,0,accounting,medium
537,4121,2,154,3,1,1,0,support,medium
538,4122,5,261,5,1,1,0,technical,medium
539,4129,7,244,4,0,1,0,management,medium
540,4133,2,129,3,0,1,0,marketing,high
541,89200,4,254,5,0,1,0,marketing,low
542,4146,5,236,5,0,1,0,marketing,medium
543,4150,5,237,5,0,1,0,sales,medium
544,4151,2,135,3,0,1,0,sales,medium
545,4156,5,236,5,0,1,0,sales,medium
546,89790,2,149,3,0,1,0,sales,low
547,4162,2,141,3,0,1,0,sales,low
548,4163,4,270,5,0,1,0,sales,low
549,4164,2,138,3,0,1,0,sales,low
550,91196,6,298,4,0,1,0,sales,low
551,91780,5,254,5,0,1,0,sales,low
552,4175,5,248,5,0,1,0,sales,low
553,4176,5,257,6,0,1,0,sales,low
554,4179,2,150,3,0,1,0,sales,low
555,2510,7,281,4,0,1,0,sales,low
556,4184,2,141,3,1,1,0,sales,low
557,4190,2,157,3,0,1,0,sales,low
558,4192,2,136,3,0,1,0,sales,low
559,4200,7,296,4,0,1,0,sales,low
560,4201,6,279,4,0,1,0,sales,low
561,4202,2,131,3,0,1,0,sales,low
562,4206,2,160,3,0,1,0,accounting,low
563,4208,7,291,4,0,1,0,accounting,low
564,4211,2,157,3,0,1,0,accounting,low
565,4214,3,294,4,0,1,0,hr,low
566,4218,7,310,4,0,1,0,hr,low
567,4228,6,282,4,0,1,0,hr,medium
568,4231,2,134,3,0,1,0,hr,medium
569,4235,4,214,4,0,1,0,technical,medium
570,4238,2,137,3,0,1,0,technical,medium
571,32052,4,252,5,0,1,0,technical,medium
572,92981,5,243,6,0,1,0,technical,medium
573,4253,2,148,3,0,1,0,technical,medium
574,4256,2,151,3,0,1,0,technical,medium
575,4264,2,129,3,0,1,0,technical,medium
576,93517,2,198,2,0,1,0,technical,medium
577,4271,4,275,6,0,1,0,technical,medium
578,13127,5,243,5,0,1,0,technical,medium
579,4277,2,159,3,0,1,0,technical,high
580,4286,2,145,3,0,1,0,support,low
581,4287,5,242,5,0,1,0,support,medium
582,4295,5,242,5,0,1,0,support,medium
583,4296,2,145,3,0,1,0,support,medium
584,4300,2,154,3,0,1,1,support,medium
585,93940,2,139,3,0,1,0,support,low
586,4318,2,152,3,0,1,0,support,low
587,4319,2,211,3,0,1,0,support,low
588,4330,5,258,5,0,1,0,support,low
589,4333,2,155,3,0,1,0,support,low
590,4346,2,148,3,0,1,0,support,low
591,4356,2,255,3,0,1,0,technical,low
592,4357,6,264,4,0,1,0,technical,low
593,4364,2,132,3,0,1,0,technical,low
594,4368,6,255,4,0,1,0,management,low
595,4383,5,263,4,0,1,0,IT,low
596,94048,5,222,5,0,1,0,IT,low
597,4405,6,263,4,0,1,0,IT,low
598,4406,2,157,3,0,1,0,IT,low
599,94339,7,307,4,0,1,0,IT,low
600,4417,5,259,6,0,1,0,product_mng,low
601,4427,5,222,6,0,1,0,product_mng,low
602,4431,7,250,4,0,1,0,product_mng,low
603,38010,5,245,5,0,1,0,product_mng,low
604,4450,6,292,4,0,1,0,IT,low
605,4451,5,252,5,0,1,0,RandD,low
606,97153,2,161,3,0,1,0,RandD,medium
607,38135,5,250,4,0,1,0,RandD,medium
608,4461,2,134,3,0,1,0,RandD,medium
609,4462,7,279,4,0,1,0,RandD,medium
610,99332,7,256,4,0,1,0,marketing,medium
611,4473,2,127,3,0,1,0,sales,medium
612,4475,2,138,3,1,1,0,accounting,medium
613,4477,5,243,5,0,1,0,support,medium
614,4478,7,296,4,0,1,0,technical,medium
615,4492,7,267,4,0,1,0,management,medium
616,4494,2,144,3,0,1,0,marketing,medium
617,4511,4,251,5,0,1,0,marketing,medium
618,4515,2,148,3,0,1,0,marketing,high
619,4521,2,141,3,0,1,0,sales,low
